,Open,High,Low,Close,Volume,Daily Change %,Volatility,MA_5,MA_10,MA_20,Momentum,Volume_Change,RSI_14
2025-12-03,972.25,972.25,947.35,951.4,875186,-2.1445101568526637,2.56106968372332,968.9399999999999,973.6550000000001,968.2924999999999,-32.64999999999998,0.6551229825974803,48.442906567689576
2025-12-04,951.7,952.55,944.1,948.05,2062068,-0.3835242198171788,0.8878848376589189,963.9799999999999,970.29,967.6575,-24.800000000000068,1.3561482930485633,39.4765539743438
2025-12-05,948.8,972.8,946.8,971.4,511017,2.3819561551433415,2.740303541315346,962.35,970.1699999999998,968.43,-8.149999999999977,-0.7521822752692928,49.17582416951955
2025-12-08,972.35,972.5,951.0,956.1,2120466,-1.6712089268267598,2.211137964724636,958.9399999999999,968.75,968.6425000000002,-17.049999999999955,3.1495018756714552,43.35890189255534
2025-12-09,956.05,964.2,950.8,959.35,374212,0.34517023168245053,1.4016003347105372,957.26,966.365,968.945,-8.399999999999977,-0.8235236971495888,40.145051189743754
2025-12-10,959.35,964.0,955.1,959.55,423587,0.02084744879344679,0.9277114713086962,958.89,963.915,969.055,8.149999999999977,0.13194392483405126,40.50578653607298
2025-12-11,963.95,966.45,958.25,963.4,1563506,-0.05705690129156783,0.8506665283469106,961.9599999999998,962.97,969.4975000000001,15.350000000000023,2.6911095005276366,45.87073608041119
2025-12-12,964.05,967.0,958.0,962.9,205217,-0.11928841865048259,0.9335615372646648,960.26,961.3050000000001,969.275,-8.5,-0.8687456268156311,46.624087585285245
2025-12-15,959.95,969.3,957.05,967.15,118671,0.750039064534604,1.2761081306318038,962.4699999999999,960.7049999999999,968.9725000000001,11.049999999999955,-0.42172919397515796,42.050520053603634
2025-12-16,967.95,969.0,958.8,961.4,222081,-0.6766878454465693,1.0537734387106819,962.8799999999999,960.0699999999999,968.4150000000002,2.0499999999999545,0.8714007634552672,39.3008974912592
2025-12-17,965.0,978.5,965.0,975.9,569861,1.1295336787564745,1.3989637305699483,966.15,962.5199999999999,968.0875,16.350000000000023,1.56600519630225,51.39715986514373
2025-12-18,976.75,981.0,973.5,977.7,594574,0.09726132582544618,0.7678525723061171,969.01,965.485,967.8875,14.300000000000068,0.0433667157429618,49.112709825538865
2025-12-19,978.15,981.9,977.0,980.15,261032,0.20446761744108777,0.5009456627306628,972.46,966.36,968.2650000000001,17.25,-0.5609764301836273,53.48953139831652
2025-12-22,983.9,983.9,972.6,974.25,395098,-0.9807907307653194,1.1484907002744136,973.8800000000001,968.175,968.4625,7.100000000000023,0.5135998651506328,53.224206341814096
