,Open,High,Low,Close,Volume,Daily Change %,Volatility,MA_5,MA_10,MA_20,Momentum,Volume_Change,RSI_14
2025-10-06,742.0,755.5,734.1,739.3,158693,-0.3638814016172568,2.884097035040428,748.4100000000001,748.245,764.385,20.25,0.02194803803570422,58.71212120322545
2025-10-07,742.25,752.3,740.1,749.15,162176,0.9296059279218563,1.643651060963278,748.4100000000001,748.245,764.385,20.25,0.02194803803570422,58.71212120322545
2025-10-08,746.1,754.0,739.05,741.25,111454,-0.6500469106017991,2.0037528481436864,748.4100000000001,748.245,764.385,20.25,-0.3127589779005525,58.71212120322545
2025-10-09,742.0,753.15,742.0,748.85,111232,0.9231805929919169,1.5026954177897545,748.4100000000001,748.245,764.385,20.25,-0.0019918531412062013,58.71212120322545
2025-10-10,753.5,766.25,748.35,763.5,86462,1.3271400132714002,2.3755806237558033,748.4100000000001,748.245,764.385,20.25,-0.22268771576524737,58.71212120322545
2025-10-13,756.65,767.75,756.65,759.55,135915,0.3832683539284976,1.466992665036678,752.4599999999999,748.245,764.385,20.25,0.5719622493118364,58.71212120322545
2025-10-14,761.6,761.95,743.5,749.75,43556,-1.5559348739495829,2.422531512605048,752.58,748.245,764.385,0.6000000000000227,-0.6795350034948313,58.71212120322545
2025-10-15,751.05,752.05,733.75,740.4,64363,-1.4180147793089646,2.4365887757139943,752.4100000000001,748.245,764.385,-0.8500000000000227,0.47770686013408037,58.71212120322545
2025-10-16,746.2,746.2,734.8,739.25,106271,-0.9313856874832546,1.527740552130808,750.49,748.245,764.385,-9.600000000000023,0.651119431971785,58.71212120322545
2025-10-17,739.15,760.6,734.8,751.45,134473,1.6640735980518258,3.490495839816014,748.0799999999999,748.245,764.385,-12.049999999999955,0.2653781370270347,58.71212120322545
2025-10-20,740.3,770.45,725.9,759.65,409242,2.613805214102394,6.017830609212491,748.1,750.28,764.385,0.10000000000002274,2.043302372967064,58.71212120322545
2025-10-21,759.7,763.3,756.0,758.35,22172,-0.17770172436488385,0.9609056206397201,749.8199999999999,751.2,764.385,8.600000000000023,-0.9458217875975584,58.71212120322545
2025-10-23,758.35,765.6,752.0,760.1,99940,0.23076415902947184,1.7933671787433274,753.76,753.085,764.385,19.700000000000045,3.5074869204401953,58.71212120322545
2025-10-24,756.75,758.85,750.8,755.4,75866,-0.17839444995044898,1.0637594978526683,756.99,753.74,764.385,16.149999999999977,-0.24088453071843108,58.71212120322545
2025-10-27,755.45,771.7,752.85,770.65,353486,2.0120458005162396,2.4952015355086403,760.83,754.4549999999999,764.385,19.199999999999932,3.6593467429415023,64.5610775577905
2025-10-28,772.0,801.6,772.0,799.7,424066,3.5880829015544102,3.834196891191713,768.8399999999999,758.47,764.385,40.05000000000007,0.19966844514351356,69.92510838802563
2025-10-29,807.7,810.05,793.95,808.4,320750,0.08666584127769367,1.9933143493871375,778.85,764.335,764.385,50.049999999999955,-0.2436318874892116,76.30238933749915
2025-10-30,802.3,808.8,797.15,801.85,616867,-0.05608874485852323,1.4520752835597628,787.2,770.48,764.385,41.75,0.9232018706157443,70.93206950242458
2025-10-31,796.05,806.5,792.1,794.1,124677,-0.24495948746937152,1.8089315997738806,794.94,775.9649999999999,764.385,38.700000000000045,-0.7978867405777907,62.781954879875144
2025-11-03,791.1,803.5,791.1,797.05,563792,0.7521173050183203,1.5674377449121448,800.22,780.525,764.385,26.399999999999977,3.522020902010796,65.79612467631725
2025-11-04,795.2,799.0,785.0,789.5,65206,-0.7168008048289795,1.7605633802816898,798.18,783.51,766.8950000000001,-10.200000000000045,-0.8843438714987087,67.06741089790519
2025-11-06,789.55,797.5,777.0,786.25,40112,-0.4179595972389278,2.5964156798176177,793.75,786.3,768.75,-22.149999999999977,-0.3848418857160384,70.77480742192259
2025-11-07,785.75,801.9,779.1,796.85,80686,1.4126630607699677,2.9016862869869495,792.75,789.975,771.53,-5.0,1.0115177502991624,74.04006676931088
2025-11-10,791.05,807.75,791.05,799.05,666634,1.0113140762277986,2.1111181341255354,793.74,794.3399999999999,774.0400000000001,4.949999999999932,7.262077683860893,71.67577412565156
2025-11-11,797.45,828.0,793.0,825.85,216886,3.5613518088908362,4.388989905323217,799.5,799.86,777.1575,28.800000000000068,-0.6746550580978468,75.7788161911145
2025-11-12,829.1,872.9,826.8,864.5,343603,4.269690025328667,5.5602460499336654,814.5,806.3399999999999,782.405,75.0,0.5842562452163809,82.02111613183533
2025-11-13,863.15,891.95,858.65,863.3,1048604,0.017378207727507068,3.857962115507162,829.9100000000001,811.83,788.0825,77.04999999999995,2.0517894197664166,81.23486682120284
2025-11-14,866.5,871.6,845.8,847.85,125858,-2.1523369878822822,2.97749567224467,840.1099999999999,816.43,793.455,51.0,-0.8799756628813165,76.27166808145611
2025-11-17,850.3,860.15,838.0,854.1,178070,0.44690109373163217,2.6049629542514383,851.1200000000001,822.4300000000001,799.1975,55.05000000000007,0.4148484800330532,74.99251272207314
2025-11-18,858.15,858.15,845.0,848.0,75826,-1.1827769038046936,1.532366136456328,855.55,827.525,804.025,22.149999999999977,-0.5741786937721121,66.77083332684174
2025-11-19,847.85,849.95,836.55,839.8,100340,-0.9494603998348845,1.5804682432034076,850.61,832.555,808.0325,-24.700000000000045,0.3232928019412866,60.94076654457721
2025-11-20,840.65,842.25,827.3,829.45,80797,-1.3323023850591724,1.7783857729138222,843.8399999999999,836.875,811.5875,-33.84999999999991,-0.19476778951564677,59.368635432239245
2025-11-21,830.05,857.05,830.05,846.55,381223,1.9878320583097404,3.2528160954159393,843.5799999999999,841.8449999999999,815.9100000000001,-1.3000000000000682,3.7182816193670556,66.7411426687879
2025-11-24,847.0,857.3,833.3,835.9,128686,-1.3105076741440405,2.833530106257379,839.9399999999999,845.5300000000001,819.9350000000001,-18.200000000000045,-0.6624390448635051,61.81928809938871
