,Open,High,Low,Close,Volume,Daily Change %,Volatility
2025-12-01,984.7,991.25,970.2,973.15,312355,-1.1729460749466911,2.1377069158119175
2025-12-02,976.0,980.05,964.55,967.75,528774,-0.8452868852459017,1.5881147540983607
2025-12-03,972.25,972.25,947.35,951.4,875186,-2.1445101568526637,2.56106968372332
2025-12-04,951.7,952.55,944.1,948.05,2062068,-0.3835242198171788,0.8878848376589189
2025-12-05,948.8,972.8,946.8,971.4,511017,2.3819561551433415,2.740303541315346
2025-12-08,972.35,972.5,951.0,956.1,2120466,-1.6712089268267598,2.211137964724636
2025-12-09,956.05,964.2,950.8,959.35,374212,0.34517023168245053,1.4016003347105372
2025-12-10,959.35,964.0,955.1,959.55,423587,0.02084744879344679,0.9277114713086962
2025-12-11,963.95,966.45,958.25,963.4,1563506,-0.05705690129156783,0.8506665283469106
2025-12-12,964.05,967.0,958.0,962.9,205217,-0.11928841865048259,0.9335615372646648
2025-12-15,959.95,969.3,957.05,967.15,118671,0.750039064534604,1.2761081306318038
2025-12-16,967.95,969.0,958.8,961.4,222081,-0.6766878454465693,1.0537734387106819
2025-12-17,965.0,978.5,965.0,975.9,569861,1.1295336787564745,1.3989637305699483
2025-12-18,976.75,981.0,973.5,977.7,594574,0.09726132582544618,0.7678525723061171
2025-12-19,978.15,981.9,977.0,980.15,261032,0.20446761744108777,0.5009456627306628
2025-12-22,983.9,983.9,972.6,974.25,395098,-0.9807907307653194,1.1484907002744136
2025-12-23,975.05,977.6,970.45,971.85,181180,-0.32818829803599114,0.7332957284241811
2025-12-24,972.1,977.5,967.95,969.0,406527,-0.3188972327949823,0.9824092171587239
2025-12-26,967.1,971.15,964.45,966.4,401851,-0.07238134629304575,0.6927928859476715
2025-12-29,965.95,968.3,961.45,964.85,326921,-0.11387752989285395,0.7091464361509301
2025-12-30,963.55,976.0,959.35,973.3,340615,1.0118831404701365,1.7279850552643847
2025-12-31,976.0,985.45,973.55,982.2,332569,0.6352459016393489,1.2192622950819765
2026-01-01,982.2,987.7,980.2,984.7,848654,0.254530645489717,0.7635919364691508
